Able Seamen,1,2016-12-16 17:17:01,2016-12-16 17:17:01,18
Account Collector,2,2016-12-16 17:17:02,2016-12-16 17:17:02,2
Accountant and Auditor,3,2016-12-16 17:17:03,2016-12-16 17:17:03,2
Accounting Specialist,4,2016-12-16 17:17:04,2016-12-16 17:17:04,2
Actor,5,2016-12-16 17:17:05,2016-12-16 17:17:05,9
"Actor, Producer and Director",6,2016-12-16 17:17:06,2016-12-16 17:17:06,9
Actuaries,7,2016-12-16 17:17:06,2016-12-16 17:17:06,0
Adhesive Bonding Machine Operator and Tender,8,2016-12-16 17:17:07,2016-12-16 17:17:07,20
Adjustment Clerk,9,2016-12-16 17:17:08,2016-12-16 17:17:08,17
Administrative Assistant,10,2016-12-16 17:17:09,2016-12-16 17:17:09,17
Administrative Law Judge,11,2016-12-16 17:17:10,2016-12-16 17:17:10,7
"Administrative Law Judge, Adjudicator and Hearing ",12,2016-12-16 17:17:10,2016-12-16 17:17:10,7
Administrative Service Manager,13,2016-12-16 17:17:11,2016-12-16 17:17:11,17
Admiralty Lawyer,14,2016-12-16 17:17:12,2016-12-16 17:17:12,7
Adult Basic and Secondary Education and Literacy T,15,2016-12-16 17:17:13,2016-12-16 17:17:13,8
Adult Literacy and Remedial Education Teacher,16,2016-12-16 17:17:14,2016-12-16 17:17:14,8
Advertising Account Executive,17,2016-12-16 17:17:14,2016-12-16 17:17:14,2
Advertising Agency Coordinator,18,2016-12-16 17:17:15,2016-12-16 17:17:15,1
Advertising and Promotions Manager,19,2016-12-16 17:17:16,2016-12-16 17:17:16,1
Advertising Sales Agent,20,2016-12-16 17:17:17,2016-12-16 17:17:17,0
"Advertising, Marketing, Promotions, Public Relatio",21,2016-12-16 17:17:18,2016-12-16 17:17:18,0
Aeronautical and Aerospace Engineer,22,2016-12-16 17:17:18,2016-12-16 17:17:18,0
Aerospace Engineering and Operations Technician,23,2016-12-16 17:17:19,2016-12-16 17:17:19,0
Aerospace Engineering Technician,24,2016-12-16 17:17:20,2016-12-16 17:17:20,0
Aerospace Engineer,25,2016-12-16 17:17:21,2016-12-16 17:17:21,0
"Agent and Business Manager of Artist, Performer an",26,2016-12-16 17:17:22,2016-12-16 17:17:22,0
Agricultural and Food Science Technician,27,2016-12-16 17:17:23,2016-12-16 17:17:23,0
Agricultural and Food Scientist,28,2016-12-16 17:17:23,2016-12-16 17:17:23,0
Agricultural Crop Farm Manager,29,2016-12-16 17:17:24,2016-12-16 17:17:24,0
Agricultural Engineer,30,2016-12-16 17:17:25,2016-12-16 17:17:25,0
Agricultural Equipment Operator,31,2016-12-16 17:17:26,2016-12-16 17:17:26,0
Agricultural Inspector,32,2016-12-16 17:17:27,2016-12-16 17:17:27,0
Agricultural Product Sorter,33,2016-12-16 17:17:27,2016-12-16 17:17:27,0
Agricultural Sciences Professor,34,2016-12-16 17:17:28,2016-12-16 17:17:28,0
"Agricultural Sciences Teacher, Postsecondary",35,2016-12-16 17:17:29,2016-12-16 17:17:29,0
Agricultural Technician,36,2016-12-16 17:17:30,2016-12-16 17:17:30,0
Agricultural Worker,37,2016-12-16 17:17:31,2016-12-16 17:17:31,0
"Agricultural Worker, All Other",38,2016-12-16 17:17:31,2016-12-16 17:17:31,0
Air Crew Member,39,2016-12-16 17:17:32,2016-12-16 17:17:32,0
Air Crew Officer,40,2016-12-16 17:17:33,2016-12-16 17:17:33,0
Air Traffic Controller,41,2016-12-16 17:17:34,2016-12-16 17:17:34,0
Air Traffic Controller and Airfield Operations Spe,42,2016-12-16 17:17:35,2016-12-16 17:17:35,0
Air Transportation Worker,43,2016-12-16 17:17:36,2016-12-16 17:17:36,0
Aircraft Assembler,44,2016-12-16 17:17:36,2016-12-16 17:17:36,0
Aircraft Body and Bonded Structure Repairer,45,2016-12-16 17:17:37,2016-12-16 17:17:37,0
Aircraft Cargo Handling Supervisor,46,2016-12-16 17:17:38,2016-12-16 17:17:38,0
Aircraft Examiner,47,2016-12-16 17:17:39,2016-12-16 17:17:39,0
Aircraft Launch and Recovery Officer,48,2016-12-16 17:17:40,2016-12-16 17:17:40,0
